ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title	Gene.ID
96885_at	0.910442	4.35e-01	0.920388	Nt5dc2	5'-nucleotidase domain containing 2	70021
92543_at	0.910442	4.35e-01	0.920198	Map2k2	mitogen-activated protein kinase kinase 2	26396
103868_at	0.910442	4.35e-01	0.920193	Nufip1	nuclear fragile X mental retardation protein interacting protein 1	27275
96301_at	0.910926	4.35e-01	0.919305	Rps27	ribosomal protein S27	57294
160485_r_at	0.911029	4.35e-01	0.918434	Ywhae	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	22627
162049_f_at	0.911029	4.35e-01	0.918366	Gdpd5	glycerophosphodiester phosphodiesterase domain containing 5	233552
93888_at	0.911029	4.35e-01	0.918283	Hoxb1	homeobox B1	15407
98467_at	0.911029	4.35e-01	0.91817	Itih4	inter alpha-trypsin inhibitor, heavy chain 4	16427
96670_at	0.911029	4.36e-01	0.917554	Gstk1	glutathione S-transferase kappa 1	76263
95388_at	0.911029	4.36e-01	0.917359	Hist1h1d	histone cluster 1, H1d	14957
98800_at	0.911029	4.36e-01	0.91691	Slc23a3	solute carrier family 23 (nucleobase transporters), member 3	22626
102000_f_at	0.911029	4.36e-01	0.916842	Uqcrc2	ubiquinol cytochrome c reductase core protein 2	67003
102193_at	0.911029	4.36e-01	0.916629	Eri2	exoribonuclease 2	71151
92737_at	0.911029	4.36e-01	0.916609	Irf4	interferon regulatory factor 4	16364
94768_at	0.911029	4.36e-01	0.916516	Rad21	RAD21 cohesin complex component	19357
95587_at	0.911287	4.36e-01	0.915882	Coq10a	coenzyme Q10A	210582
99360_at	0.911287	4.36e-01	0.915691	Serac1	serine active site containing 1	321007
95992_at	0.91134	4.36e-01	0.915379	C79741	expressed sequence C79741	97877
96291_f_at	0.91145	4.36e-01	0.914991	Gm6415///Ndufs6	predicted pseudogene 6415///NADH dehydrogenase (ubiquinone) Fe-S protein 6	623286///407785
161384_r_at	0.911541	4.37e-01	0.91463			
100612_at	0.911642	4.37e-01	0.914255	Rrm1	ribonucleotide reductase M1	20133
95419_at	0.911745	4.37e-01	0.913877	H1f0	H1 histone family, member 0	14958
AFFX-PyruCarbMur/L09192_5_at	0.912036	4.37e-01	0.913044	Pcx	pyruvate carboxylase	18563
96874_g_at	0.912036	4.37e-01	0.91301	Tax1bp1	Tax1 (human T cell leukemia virus type I) binding protein 1	52440
94089_at	0.912242	4.37e-01	0.912496			
102036_at	0.912683	4.38e-01	0.911669	Thap7	THAP domain containing 7	69009
96811_at	0.912696	4.38e-01	0.91113	Rab31	RAB31, member RAS oncogene family	106572
94957_at	0.912696	4.38e-01	0.911042			
101180_at	0.912696	4.38e-01	0.910793	Atm	ataxia telangiectasia mutated	11920
96802_at	0.912696	4.38e-01	0.910551	Pdcd7	programmed cell death 7	50996
162243_f_at	0.912696	4.38e-01	0.910452	Rtkn	rhotekin	20166
100536_at	0.912754	4.38e-01	0.910135	Mobp	myelin-associated oligodendrocytic basic protein	17433
102869_at	0.912791	4.38e-01	0.909748	Efna2	ephrin A2	13637
100003_at	0.912791	4.39e-01	0.909187	Ryr1	ryanodine receptor 1, skeletal muscle	20190
161980_f_at	0.912791	4.39e-01	0.909056	Bag3	BCL2-associated athanogene 3	29810
102408_g_at	0.912791	4.39e-01	0.908613	Cma1	chymase 1, mast cell	17228
103819_at	0.912791	4.39e-01	0.908569	Shd	src homology 2 domain-containing transforming protein D	20420
95930_at	0.912791	4.39e-01	0.908197	Gm15934	predicted gene 15934	102638854
161154_at	0.912791	4.39e-01	0.907915			
161659_f_at	0.912791	4.39e-01	0.907892	Acp1	acid phosphatase 1, soluble	11431
160832_at	0.912791	4.39e-01	0.907778	Ldlr	low density lipoprotein receptor	16835
161794_i_at	0.912791	4.39e-01	0.907455	Tmem191c	transmembrane protein 191C	224019
93777_at	0.912791	4.39e-01	0.907453	Golph3l	golgi phosphoprotein 3-like	229593
161202_r_at	0.912802	4.39e-01	0.907065	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595
104339_at	0.912802	4.39e-01	0.906961	Pygo2	pygopus 2	68911
102690_at	0.913249	4.40e-01	0.906129	Cyp2b19	cytochrome P450, family 2, subfamily b, polypeptide 19	13090
102958_at	0.913309	4.40e-01	0.905729	Ebf2	early B cell factor 2	13592
161070_at	0.913309	4.40e-01	0.905279	Spred2	sprouty-related, EVH1 domain containing 2	114716
98951_at	0.913309	4.40e-01	0.904986	Tcf25	transcription factor 25 (basic helix-loop-helix)	66855
160437_at	0.913309	4.40e-01	0.904579	Txnrd2	thioredoxin reductase 2	26462
103469_at	0.913309	4.40e-01	0.904353	Elovl3	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	12686
103729_at	0.913309	4.40e-01	0.90384	Lama1	laminin, alpha 1	16772
160286_at	0.913309	4.41e-01	0.903416	Dek	DEK oncogene (DNA binding)	110052
103378_at	0.913309	4.41e-01	0.903231	Prl4a1	prolactin family 4, subfamily a, member 1	19110
94102_at	0.913309	4.41e-01	0.902921	Hmx1	H6 homeobox 1	15371
104492_at	0.913309	4.41e-01	0.902745	Ebf3	early B cell factor 3	13593
96955_at	0.913309	4.41e-01	0.902583	Atp6v0e2	ATPase, H+ transporting, lysosomal V0 subunit E2	76252
160683_at	0.913309	4.41e-01	0.902579	Slc25a36	solute carrier family 25, member 36	192287
97082_at	0.913309	4.41e-01	0.902517	Oca2	oculocutaneous albinism II	18431
93676_at	0.913309	4.41e-01	0.902508	Rad51ap1	RAD51 associated protein 1	19362
96347_at	0.913309	4.41e-01	0.902473	Rcn3	reticulocalbin 3, EF-hand calcium binding domain	52377
161812_r_at	0.913427	4.41e-01	0.901774			
102007_at	0.913427	4.41e-01	0.901537	Hccs	holocytochrome c synthetase	15159
161113_at	0.913427	4.41e-01	0.9015	Esr1	estrogen receptor 1 (alpha)	13982
96374_at	0.913427	4.41e-01	0.901282	C80171	expressed sequence C80171	97923
103721_at	0.913427	4.42e-01	0.900773	Npnt	nephronectin	114249
95961_at	0.913427	4.42e-01	0.900239	Nbeal2	neurobeachin-like 2	235627
103925_at	0.913427	4.42e-01	0.900208	Mllt3	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3"	70122
94406_at	0.913427	4.42e-01	0.899876	Phtf1	putative homeodomain transcription factor 1	18685
94146_at	0.913427	4.42e-01	0.899851	Ccl4	chemokine (C-C motif) ligand 4	20303
103643_at	0.913427	4.42e-01	0.899833	Zdhhc16	zinc finger, DHHC domain containing 16	74168
99139_at	0.913427	4.42e-01	0.899243	Vps26b	VPS26 retromer complex component B	69091
160074_at	0.913427	4.42e-01	0.899043	Ddc	dopa decarboxylase	13195
96497_s_at	0.913427	4.42e-01	0.898869	Myt1l	myelin transcription factor 1-like	17933
100776_at	0.913427	4.43e-01	0.898135	Zfp799	zinc finger protein 799	240064
103799_at	0.913427	4.43e-01	0.897913	Mtmr9	myotubularin related protein 9	210376
98336_s_at	0.913427	4.43e-01	0.897787	Rfc1	replication factor C (activator 1) 1	19687
104607_at	0.913427	4.43e-01	0.897551	Rtn2	reticulon 2 (Z-band associated protein)	20167
162143_f_at	0.913427	4.43e-01	0.897419	Prkrir	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)	72981
102160_at	0.913427	4.43e-01	0.897393			
101185_at	0.913427	4.43e-01	0.897262	Foxl1	forkhead box L1	14241
102577_at	0.913427	4.43e-01	0.897107	Kcnab3	potassium voltage-gated channel, shaker-related subfamily, beta member 3	16499
95505_at	0.913427	4.43e-01	0.896759	Tor1b	torsin family 1, member B	30934
100559_at	0.913427	4.43e-01	0.896657	Dhx16	DEAH (Asp-Glu-Ala-His) box polypeptide 16	69192
161816_r_at	0.913427	4.43e-01	0.896622	Gltp	glycolipid transfer protein	56356
95450_at	0.913712	4.43e-01	0.895926	Grb10	growth factor receptor bound protein 10	14783
102918_at	0.913712	4.43e-01	0.895772	Muc1	mucin 1, transmembrane	17829
92906_at	0.91382	4.44e-01	0.895393	Epha7	Eph receptor A7	13841
95467_at	0.913852	4.44e-01	0.894828	Scoc	short coiled-coil protein	56367
160466_at	0.913852	4.44e-01	0.89477	Rae1	ribonucleic acid export 1	66679
162358_i_at	0.913852	4.44e-01	0.894642	Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	13358
93190_at	0.914373	4.44e-01	0.893716	Dnaaf5	dynein, axonemal assembly factor 5	433956
102095_f_at	0.914617	4.44e-01	0.893158	Spock2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2	94214
161359_s_at	0.914805	4.45e-01	0.892497	Apoa1bp	apolipoprotein A-I binding protein	246703
95140_at	0.914805	4.45e-01	0.892308	Mff	mitochondrial fission factor	75734
99478_at	0.914805	4.45e-01	0.892165	Ptprcap	protein tyrosine phosphatase, receptor type, C polypeptide-associated protein	19265
101483_at	0.914805	4.45e-01	0.891965	Ccndbp1	cyclin D-type binding-protein 1	17151
104714_at	0.914865	4.45e-01	0.891649	Dock9	dedicator of cytokinesis 9	105445
99839_at	0.914865	4.45e-01	0.891281	Gabrr2	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2	14409
161674_i_at	0.914865	4.45e-01	0.891179			
98834_at	0.914917	4.45e-01	0.890157	Itga2	integrin alpha 2	16398
104264_at	0.914917	4.45e-01	0.890121	Lrba	LPS-responsive beige-like anchor	80877
94866_at	0.914917	4.46e-01	0.890054	Mrps16	mitochondrial ribosomal protein S16	66242
99393_at	0.914917	4.46e-01	0.88959	Bmp5	bone morphogenetic protein 5	12160
100754_at	0.914917	4.46e-01	0.88896	Mecom	MDS1 and EVI1 complex locus	14013
97724_at	0.914917	4.46e-01	0.888713	Cry2	cryptochrome 2 (photolyase-like)	12953
162426_f_at	0.914917	4.46e-01	0.88847	Scamp1	secretory carrier membrane protein 1	107767
98817_at	0.914917	4.46e-01	0.88823	Fst	follistatin	14313
161835_at	0.914917	4.46e-01	0.888126	S100g	S100 calcium binding protein G	12309
95592_at	0.914917	4.46e-01	0.887754	Fam96b	family with sequence similarity 96, member B	68523
93393_at	0.914917	4.46e-01	0.88765	Eda	ectodysplasin-A	13607
101513_at	0.914917	4.46e-01	0.887421	Pfdn5	prefoldin 5	56612
161217_r_at	0.914917	4.47e-01	0.887208			
94951_at	0.914917	4.47e-01	0.886741	Las1l	LAS1-like (S. cerevisiae)	76130
162168_r_at	0.914917	4.47e-01	0.886643	Phgdh	3-phosphoglycerate dehydrogenase	236539
97277_at	0.914917	4.47e-01	0.886529	Triap1	TP53 regulated inhibitor of apoptosis 1	69076
99178_at	0.914917	4.47e-01	0.886472	Gpm6b	glycoprotein m6b	14758
160639_at	0.914917	4.47e-01	0.886413	Hpn	hepsin	15451
101672_at	0.914917	4.47e-01	0.886291			
92459_at	0.914917	4.47e-01	0.886185	Ccl8	chemokine (C-C motif) ligand 8	20307
161726_f_at	0.914917	4.47e-01	0.886175	Dnm2	dynamin 2	13430
92445_at	0.914929	4.47e-01	0.885774	Cacna1a	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	12286
100366_at	0.914929	4.47e-01	0.885671	Casp9	caspase 9	12371
94954_at	0.914929	4.47e-01	0.885411	Anapc4	anaphase promoting complex subunit 4	52206
161314_r_at	0.914929	4.47e-01	0.885221	Ubr4	ubiquitin protein ligase E3 component n-recognin 4	69116
93084_at	0.915266	4.48e-01	0.884543	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4	11739
97087_f_at	0.915697	4.48e-01	0.883583	Psg-ps1	pregnancy specific glycoprotein pseudogene 1	232919
95936_at	0.915697	4.48e-01	0.883245			
161512_r_at	0.915697	4.48e-01	0.882236	Dgcr6	DiGeorge syndrome critical region gene 6	13353
92932_at	0.915697	4.49e-01	0.88198	Cbln1	cerebellin 1 precursor protein	12404
102061_at	0.915697	4.49e-01	0.881965	Mlf1	myeloid leukemia factor 1	17349
162149_i_at	0.915697	4.49e-01	0.881903			
160075_at	0.915697	4.49e-01	0.881627	Nit1	nitrilase 1	27045
98400_at	0.915697	4.49e-01	0.881395	Cenpk	centromere protein K	60411
99016_at	0.915697	4.49e-01	0.881206			
96774_at	0.915697	4.49e-01	0.880679	Fermt2	fermitin family member 2	218952
160691_at	0.915697	4.49e-01	0.880645	Gm2436///Ppp2r3c	predicted gene 2436///protein phosphatase 2, regulatory subunit B'', gamma	100039815///59032
160448_at	0.915697	4.49e-01	0.880545	Pdcd2l	programmed cell death 2-like	68079
101292_f_at	0.915697	4.49e-01	0.880428	Snrp1c-ps2	U1 small nuclear ribonucleoprotein 1C, pseudogene 2	20632
161038_at	0.915697	4.49e-01	0.880315	Prps2	phosphoribosyl pyrophosphate synthetase 2	110639
160686_at	0.915697	4.49e-01	0.880159	Sltm	SAFB-like, transcription modulator	66660
94860_at	0.915697	4.49e-01	0.880124	Timm17a	translocase of inner mitochondrial membrane 17a	21854
162442_r_at	0.915697	4.49e-01	0.879823	Ap2m1	adaptor-related protein complex 2, mu 1 subunit	11773
92194_at	0.915697	4.49e-01	0.879769	Pcsk5	proprotein convertase subtilisin/kexin type 5	18552
100985_at	0.916503	4.50e-01	0.878475	Siah1a	seven in absentia 1A	20437
160241_at	0.91659	4.50e-01	0.878051	Adam17	a disintegrin and metallopeptidase domain 17	11491
93637_at	0.91659	4.50e-01	0.877798	Cd5	CD5 antigen	12507
101552_at	0.91659	4.50e-01	0.877663	Slc34a1	solute carrier family 34 (sodium phosphate), member 1	20505
104391_s_at	0.916614	4.50e-01	0.876949	Clcn7	chloride channel, voltage-sensitive 7	26373
101831_at	0.916614	4.50e-01	0.876873	Shh	sonic hedgehog	20423
97141_s_at	0.916614	4.51e-01	0.87655	D3Ertd229e	DNA segment, Chr 3, ERATO Doi 229, expressed	52243
92246_at	0.916614	4.51e-01	0.876549	Krtap14	keratin associated protein 14	23927
104273_at	0.916614	4.51e-01	0.876334	Baat	bile acid-Coenzyme A: amino acid N-acyltransferase	12012
98441_at	0.916614	4.51e-01	0.876234	Fmr1	fragile X mental retardation syndrome 1	14265
101209_at	0.917223	4.51e-01	0.875202	Fcer1a	Fc receptor, IgE, high affinity I, alpha polypeptide	14125
98530_at	0.917801	4.51e-01	0.874054	Gas5	growth arrest specific 5	14455
93826_at	0.917801	4.52e-01	0.8737	Ppp2r5a	protein phosphatase 2, regulatory subunit B', alpha	226849
97919_at	0.917801	4.52e-01	0.873653	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	66921
97187_at	0.917801	4.52e-01	0.873514	D7Wsu130e	DNA segment, Chr 7, Wayne State University 130, expressed	28017
99555_at	0.918325	4.52e-01	0.872368	Sry	sex determining region of Chr Y	21674
97284_at	0.918325	4.52e-01	0.872363	Bcl2l13	BCL2-like 13 (apoptosis facilitator)	94044
92569_f_at	0.918546	4.52e-01	0.87184	Nop58	NOP58 ribonucleoprotein	55989
92477_at	0.918546	4.52e-01	0.871609	Spin1	spindlin 1	20729
161569_f_at	0.918645	4.53e-01	0.87099	Ckm	creatine kinase, muscle	12715
98602_at	0.918645	4.53e-01	0.870839	Rangap1	RAN GTPase activating protein 1	19387
160860_at	0.918645	4.53e-01	0.870543	Gdf10	growth differentiation factor 10	14560
160416_at	0.918645	4.53e-01	0.869914	Fkbp3	FK506 binding protein 3	30795
161076_at	0.918645	4.53e-01	0.869632	Haus3	HAUS augmin-like complex, subunit 3	231123
99171_at	0.918645	4.53e-01	0.869572	Ints6	integrator complex subunit 6	18130
102169_at	0.918645	4.53e-01	0.869571	Olfr93	olfactory receptor 93	258051
98814_at	0.918645	4.53e-01	0.869404	Csn1s2b	casein alpha s2-like B	12992
96180_at	0.918645	4.53e-01	0.869112	Rgs5	regulator of G-protein signaling 5	19737
160971_at	0.918645	4.53e-01	0.868975	Kazald1	Kazal-type serine peptidase inhibitor domain 1	107250
104059_at	0.918645	4.53e-01	0.868739	Chd8	chromodomain helicase DNA binding protein 8	67772
160332_at	0.918645	4.53e-01	0.8687	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	18595
160223_at	0.918773	4.54e-01	0.868301	Ttc27	tetratricopeptide repeat domain 27	74196
95330_at	0.919443	4.54e-01	0.867193	G6pc2	glucose-6-phosphatase, catalytic, 2	14378
162087_f_at	0.919542	4.54e-01	0.86616	Kcnab1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	16497
99888_at	0.919542	4.54e-01	0.866082	Zan	zonadhesin	22635
98501_at	0.919542	4.55e-01	0.865973	Il1rl1	interleukin 1 receptor-like 1	17082
103622_at	0.919542	4.55e-01	0.865718	Mlycd	malonyl-CoA decarboxylase	56690
92663_at	0.919542	4.55e-01	0.865508	Ptprv	protein tyrosine phosphatase, receptor type, V	13924
95478_at	0.919542	4.55e-01	0.865401	Deb1	differentially expressed in B16F10 1	26901
100593_at	0.919542	4.55e-01	0.864904	Tnnt2	troponin T2, cardiac	21956
161632_r_at	0.919542	4.55e-01	0.864708	Phf7	PHD finger protein 7	71838
99039_g_at	0.919542	4.55e-01	0.86468	Adss	adenylosuccinate synthetase, non muscle	11566
161737_at	0.919542	4.55e-01	0.86431	Utp18	UTP18 small subunit processome component	217109
93942_at	0.919542	4.55e-01	0.864202	Inpp1	inositol polyphosphate-1-phosphatase	16329
94791_s_at	0.919542	4.55e-01	0.864122	Ltk	leukocyte tyrosine kinase	17005
160086_at	0.919542	4.55e-01	0.864065	Itga7	integrin alpha 7	16404
103601_at	0.919573	4.55e-01	0.863691	Ptrh1	peptidyl-tRNA hydrolase 1 homolog	329384
94070_at	0.919573	4.56e-01	0.863269	Gosr2	golgi SNAP receptor complex member 2	56494
102723_at	0.919573	4.56e-01	0.8631	Ighg3	Immunoglobulin heavy constant gamma 3	380795
104235_at	0.919573	4.56e-01	0.862854	Sun2	Sad1 and UNC84 domain containing 2	223697
104488_at	0.919573	4.56e-01	0.862735	Snx21	sorting nexin family member 21	101113
99059_at	0.919573	4.56e-01	0.862644	Elf3	E74-like factor 3	13710
102232_at	0.919949	4.56e-01	0.861686	Slc39a9	solute carrier family 39 (zinc transporter), member 9	328133
98944_at	0.919949	4.56e-01	0.861304	Sec23b	SEC23 homolog B, COPII coat complex component	27054
104131_at	0.919949	4.56e-01	0.861283	Tpra1	transmembrane protein, adipocyte asscociated 1	24100
93778_at	0.919949	4.56e-01	0.861103	LOC100503923///Gm15433///LOC100041903///Gm2666///Gm7609///Csprs	proteinase-activated receptor 1-like///predicted pseudogene 15433///proteinase-activated receptor 1-like///predicted gene 2666///predicted pseudogene 7609///component of Sp100-rs	100503923///100503433///100041903///100040213///665378///114564
96148_at	0.919949	4.56e-01	0.860973	Senp6	SUMO/sentrin specific peptidase 6	215351
104695_at	0.919949	4.57e-01	0.860294	Fam83g	family with sequence similarity 83, member G	69640
99128_at	0.919949	4.57e-01	0.860274	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	28080
160855_at	0.919949	4.57e-01	0.859799	Clrn3	clarin 3	212070
92671_f_at	0.919949	4.57e-01	0.859125	Rgl1	ral guanine nucleotide dissociation stimulator,-like 1	19731
162091_f_at	0.919949	4.57e-01	0.858484	Sf3b2	splicing factor 3b, subunit 2	319322
97252_at	0.919949	4.57e-01	0.858203	Mrto4-ps1///Mrto4-ps2///Mrto4	mRNA turnover 4, pseudogene 1///mRNA turnover 4, pseudogene 2///mRNA turnover 4, ribosome maturation factor	668455///434693///69902
94388_at	0.919949	4.58e-01	0.857999	Ap3s2	adaptor-related protein complex 3, sigma 2 subunit	11778
95440_at	0.919949	4.58e-01	0.857038	Tmem246	transmembrane protein 246	67063
161078_at	0.919949	4.58e-01	0.856997			
96804_at	0.919949	4.58e-01	0.856671	Nop2	NOP2 nucleolar protein	110109
97077_f_at	0.919949	4.58e-01	0.856343	Rtn3	reticulon 3	20168
100138_f_at	0.919949	4.58e-01	0.856155	Rbm14	RNA binding motif protein 14	56275
102090_f_at	0.919949	4.58e-01	0.856026	Smyd5	SET and MYND domain containing 5	232187
96064_at	0.919949	4.58e-01	0.855699	Reg3g	regenerating islet-derived 3 gamma	19695
98169_s_at	0.919949	4.58e-01	0.855602	Fzd3	frizzled class receptor 3	14365
102946_r_at	0.919949	4.59e-01	0.855472	Gapdhs	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	14447
103835_f_at	0.919949	4.59e-01	0.85536	Hpcal1	hippocalcin-like 1	53602
162326_at	0.919949	4.59e-01	0.855044			
95628_at	0.919949	4.59e-01	0.854752	Diaph3	diaphanous related formin 3	56419
96617_at	0.919949	4.59e-01	0.854286	Drap1	Dr1 associated protein 1 (negative cofactor 2 alpha)	66556
103439_at	0.919949	4.59e-01	0.854101	Psd	pleckstrin and Sec7 domain containing	73728
95027_at	0.919949	4.59e-01	0.853961	Usp21	ubiquitin specific peptidase 21	30941
104479_at	0.919949	4.59e-01	0.853474	P2ry2	purinergic receptor P2Y, G-protein coupled 2	18442
100726_at	0.919949	4.59e-01	0.853391	Grin2a	glutamate receptor, ionotropic, NMDA2A (epsilon 1)	14811
98084_at	0.919949	4.59e-01	0.853346	Arl2bp	ADP-ribosylation factor-like 2 binding protein	107566
95977_at	0.919949	4.60e-01	0.85278	D2Ertd239e	DNA segment, Chr 2, ERATO Doi 239, expressed	51880
93347_at	0.919949	4.60e-01	0.85242	Rab24	RAB24, member RAS oncogene family	19336
93630_at	0.919949	4.60e-01	0.852217	Celf1	CUGBP, Elav-like family member 1	13046
94132_at	0.919949	4.60e-01	0.852156	Gpx1	glutathione peroxidase 1	14775
92958_at	0.919949	4.60e-01	0.851836	Foxo3	forkhead box O3	56484
97790_s_at	0.919949	4.60e-01	0.851674	Lama3	laminin, alpha 3	16774
93848_at	0.919949	4.60e-01	0.851505	Map4k3	mitogen-activated protein kinase kinase kinase kinase 3	225028
97819_at	0.919949	4.60e-01	0.851499	Gsto1	glutathione S-transferase omega 1	14873
97261_at	0.919949	4.60e-01	0.851495	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1	15502
103046_at	0.919949	4.60e-01	0.851176	Car4	carbonic anhydrase 4	12351
103609_at	0.919949	4.60e-01	0.851117	D630023F18Rik///Cryga	RIKEN cDNA D630023F18 gene///crystallin, gamma A	98303///12964
99579_at	0.919949	4.60e-01	0.850983	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	11933
104361_at	0.919949	4.60e-01	0.850751	Zfp637	zinc finger protein 637	232337
94034_at	0.919949	4.61e-01	0.850177	Rexo2	RNA exonuclease 2	104444
97281_at	0.919949	4.61e-01	0.850098	Uap1	UDP-N-acetylglucosamine pyrophosphorylase 1	107652
97251_at	0.919949	4.61e-01	0.84949	Mrps10	mitochondrial ribosomal protein S10	64657
160365_at	0.919949	4.61e-01	0.848929	Eif2s2	eukaryotic translation initiation factor 2, subunit 2 (beta)	67204
94627_at	0.919949	4.61e-01	0.84866	Figla	folliculogenesis specific basic helix-loop-helix	26910
92733_at	0.919949	4.61e-01	0.848561	Adam4	a disintegrin and metallopeptidase domain 4	11498
160887_at	0.919949	4.61e-01	0.848258	Hes1	hairy and enhancer of split 1 (Drosophila)	15205
97897_at	0.919949	4.61e-01	0.848247	Fam8a1	family with sequence similarity 8, member A1	97863
103645_at	0.919949	4.61e-01	0.847905	Dnajb8	DnaJ heat shock protein family (Hsp40) member B8	56691
93385_at	0.919949	4.61e-01	0.847833	Nthl1	nth (endonuclease III)-like 1 (E.coli)	18207
162383_r_at	0.919949	4.62e-01	0.847645			
102998_at	0.919949	4.62e-01	0.847576	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2	13077
103355_at	0.919949	4.62e-01	0.84737	Abhd11os	abhydrolase domain containing 11, opposite strand	69812
92573_at	0.919949	4.62e-01	0.84733	Ppp2r1a	protein phosphatase 2, regulatory subunit A, alpha	51792
104622_at	0.919949	4.62e-01	0.847176	Tcea2	transcription elongation factor A (SII), 2	21400
161575_f_at	0.919949	4.62e-01	0.847086	Mapk10	mitogen-activated protein kinase 10	26414
160311_at	0.919949	4.62e-01	0.847082	Plxnb2	plexin B2	140570
102716_at	0.919949	4.62e-01	0.846659	Eya3	EYA transcriptional coactivator and phosphatase 3	14050
161930_r_at	0.919949	4.62e-01	0.846565			
160903_at	0.919949	4.62e-01	0.846444	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	11787
104715_at	0.919949	4.62e-01	0.84641	Ubap2	ubiquitin-associated protein 2	68926
92708_at	0.919949	4.62e-01	0.846294	Ddx19b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b	234733
104589_at	0.919949	4.62e-01	0.846284	Uri1	URI1, prefoldin-like chaperone	19777
99073_at	0.919949	4.62e-01	0.846254	Ccnf	cyclin F	12449
92549_at	0.919949	4.62e-01	0.846122	Pkig	protein kinase inhibitor, gamma	18769
104207_at	0.919949	4.62e-01	0.845475	Fhdc1	FH2 domain containing 1	229474
97142_at	0.919949	4.62e-01	0.845291	DXErtd242e	DNA segment, Chr X, ERATO Doi 242, expressed	52175
102917_at	0.919949	4.63e-01	0.844864	Ciita	class II transactivator	12265
95660_at	0.919949	4.63e-01	0.8448	Ethe1	ethylmalonic encephalopathy 1	66071
160383_at	0.919949	4.63e-01	0.844652	Cox7a2l	cytochrome c oxidase subunit VIIa polypeptide 2-like	20463
100516_at	0.919949	4.63e-01	0.844379	Chka	choline kinase alpha	12660
95997_at	0.919949	4.63e-01	0.844277			
100124_r_at	0.919949	4.63e-01	0.844213	Itgb1	integrin beta 1 (fibronectin receptor beta)	16412
94027_at	0.919949	4.63e-01	0.844071			
102743_at	0.919949	4.63e-01	0.844024	Mapt	microtubule-associated protein tau	17762
96876_at	0.919949	4.63e-01	0.843427	Laptm4a	lysosomal-associated protein transmembrane 4A	17775
94956_at	0.919949	4.63e-01	0.843204	Dgcr6	DiGeorge syndrome critical region gene 6	13353
104709_at	0.919949	4.63e-01	0.843054	Sec23a	SEC23 homolog A, COPII coat complex component	20334
99169_at	0.919949	4.63e-01	0.842688	Carm1	coactivator-associated arginine methyltransferase 1	59035
93468_at	0.919949	4.64e-01	0.84247	Aff1	AF4/FMR2 family, member 1	17355
102570_at	0.919949	4.64e-01	0.842426	Gm17811	lymphocyte antigen 6 complex, locus E pseudogene	100302649
93951_at	0.919949	4.64e-01	0.842304	Golga3	golgi autoantigen, golgin subfamily a, 3	269682
100481_at	0.919949	4.64e-01	0.842137	Col11a1	collagen, type XI, alpha 1	12814
103315_at	0.919949	4.64e-01	0.842098	Tnrc6a	trinucleotide repeat containing 6a	233833
98947_at	0.919949	4.64e-01	0.841793	Brd3	bromodomain containing 3	67382
92988_i_at	0.919949	4.64e-01	0.841562	Cadps	Ca2+-dependent secretion activator	27062
162114_f_at	0.919949	4.64e-01	0.841558	Med20	mediator complex subunit 20	56771
102765_at	0.919949	4.64e-01	0.841444	Cops7b	COP9 signalosome subunit 7B	26895
102720_at	0.92017	4.64e-01	0.840931	Tek	endothelial-specific receptor tyrosine kinase	21687
97272_at	0.920457	4.64e-01	0.840333	Gm10052///Gm5643///Hnrnpa1	heterogeneous nuclear ribonucleoprotein A1 pseudogene///heterogeneous nuclear ribonucleoprotein A1 pseudogene///heterogeneous nuclear ribonucleoprotein A1	654467///434858///15382
95482_at	0.920977	4.65e-01	0.839145	Usp7	ubiquitin specific peptidase 7	252870
101923_at	0.920977	4.65e-01	0.839062	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	27226
